doc_id,id,subclass,label,split
HF_gossipcop-3741968330,gossipcop-3741968330,HF,fake,validation
HF_gossipcop-8763534369,gossipcop-8763534369,HF,fake,test
HF_gossipcop-7544598697,gossipcop-7544598697,HF,fake,validation
HF_gossipcop-5382417683,gossipcop-5382417683,HF,fake,train
HF_gossipcop-1485355129,gossipcop-1485355129,HF,fake,train
HF_gossipcop-1942196966,gossipcop-1942196966,HF,fake,validation
HF_gossipcop-3356220952,gossipcop-3356220952,HF,fake,train
HF_gossipcop-886883614,gossipcop-886883614,HF,fake,train
HF_gossipcop-11452309,gossipcop-11452309,HF,fake,train
HF_gossipcop-6813792423,gossipcop-6813792423,HF,fake,train
HF_gossipcop-9948642977,gossipcop-9948642977,HF,fake,train
HF_gossipcop-911205800,gossipcop-911205800,HF,fake,train
HF_gossipcop-2645053513,gossipcop-2645053513,HF,fake,test
HF_gossipcop-7122770142,gossipcop-7122770142,HF,fake,train
HF_gossipcop-7023055459,gossipcop-7023055459,HF,fake,validation
HF_gossipcop-2968759787,gossipcop-2968759787,HF,fake,validation
HF_gossipcop-8253144308,gossipcop-8253144308,HF,fake,test
HF_gossipcop-9621883806,gossipcop-9621883806,HF,fake,test
HF_gossipcop-9666581710,gossipcop-9666581710,HF,fake,train
HF_gossipcop-8140910927,gossipcop-8140910927,HF,fake,test
HF_gossipcop-9025333204,gossipcop-9025333204,HF,fake,train
HF_gossipcop-4282673292,gossipcop-4282673292,HF,fake,train
HF_gossipcop-9880808244,gossipcop-9880808244,HF,fake,test
HF_gossipcop-5756911495,gossipcop-5756911495,HF,fake,validation
HF_gossipcop-8922369293,gossipcop-8922369293,HF,fake,train
HF_gossipcop-9962469348,gossipcop-9962469348,HF,fake,test
HF_gossipcop-7279809407,gossipcop-7279809407,HF,fake,test
HF_gossipcop-6643858010,gossipcop-6643858010,HF,fake,test
HF_gossipcop-4609401231,gossipcop-4609401231,HF,fake,train
HF_gossipcop-190525100,gossipcop-190525100,HF,fake,train
HF_gossipcop-6068765070,gossipcop-6068765070,HF,fake,train
HF_gossipcop-4044657763,gossipcop-4044657763,HF,fake,train
HF_gossipcop-739704663,gossipcop-739704663,HF,fake,train
HF_gossipcop-7871323394,gossipcop-7871323394,HF,fake,test
HF_gossipcop-8249025638,gossipcop-8249025638,HF,fake,train
HF_gossipcop-1051213706,gossipcop-1051213706,HF,fake,train
HF_gossipcop-8347330267,gossipcop-8347330267,HF,fake,train
HF_gossipcop-1619644929,gossipcop-1619644929,HF,fake,validation
HF_gossipcop-3012501895,gossipcop-3012501895,HF,fake,test
HF_gossipcop-9620372118,gossipcop-9620372118,HF,fake,validation
HF_gossipcop-3052686673,gossipcop-3052686673,HF,fake,train
HF_gossipcop-242084790,gossipcop-242084790,HF,fake,train
HF_gossipcop-8299029764,gossipcop-8299029764,HF,fake,validation
HF_gossipcop-9881190298,gossipcop-9881190298,HF,fake,train
HF_gossipcop-510991031,gossipcop-510991031,HF,fake,train
HF_gossipcop-2325058991,gossipcop-2325058991,HF,fake,test
HF_gossipcop-7392274516,gossipcop-7392274516,HF,fake,train
HF_gossipcop-12955535,gossipcop-12955535,HF,fake,validation
HF_gossipcop-7983975408,gossipcop-7983975408,HF,fake,test
HF_gossipcop-1084487702,gossipcop-1084487702,HF,fake,train
HF_gossipcop-4306645282,gossipcop-4306645282,HF,fake,validation
HF_gossipcop-887882317,gossipcop-887882317,HF,fake,train
HF_gossipcop-2317778987,gossipcop-2317778987,HF,fake,test
HF_gossipcop-6409267399,gossipcop-6409267399,HF,fake,train
HF_gossipcop-313797932,gossipcop-313797932,HF,fake,train
HF_gossipcop-6414164506,gossipcop-6414164506,HF,fake,validation
HF_gossipcop-5524550050,gossipcop-5524550050,HF,fake,train
HF_gossipcop-5354396924,gossipcop-5354396924,HF,fake,train
HF_gossipcop-88943555,gossipcop-88943555,HF,fake,train
HF_gossipcop-3740362597,gossipcop-3740362597,HF,fake,validation
HF_gossipcop-6399415850,gossipcop-6399415850,HF,fake,validation
HF_gossipcop-2981171702,gossipcop-2981171702,HF,fake,train
HF_gossipcop-9147360879,gossipcop-9147360879,HF,fake,train
HF_gossipcop-8955667439,gossipcop-8955667439,HF,fake,train
HF_gossipcop-1402129558,gossipcop-1402129558,HF,fake,validation
HF_gossipcop-1375570271,gossipcop-1375570271,HF,fake,train
HF_gossipcop-8789278055,gossipcop-8789278055,HF,fake,validation
HF_gossipcop-5389144623,gossipcop-5389144623,HF,fake,train
HF_gossipcop-6849600605,gossipcop-6849600605,HF,fake,train
HF_gossipcop-9512231101,gossipcop-9512231101,HF,fake,validation
HF_gossipcop-8828561773,gossipcop-8828561773,HF,fake,test
HF_gossipcop-1386564222,gossipcop-1386564222,HF,fake,train
HF_gossipcop-7090728923,gossipcop-7090728923,HF,fake,test
HF_gossipcop-5210414258,gossipcop-5210414258,HF,fake,test
HF_gossipcop-7622692972,gossipcop-7622692972,HF,fake,train
