Model,Accuracy,Precision,Recall,F1,Specificity,Balanced Accuracy
Logistic Regression,0.8340486409155937,0.8229598893499308,0.8512160228898427,0.8368495077355838,0.8168812589413448,0.8340486409155937
"Naive Bayes (Gaussian, TF-IDF)",0.6566523605150214,0.6045845272206304,0.9055793991416308,0.725085910652921,0.407725321888412,0.6566523605150214
"Naive Bayes (multinomial, counts)",0.8104434907010014,0.8258258258258259,0.7868383404864091,0.8058608058608059,0.8340486409155937,0.8104434907010014
Random Forest,0.8483547925608012,0.8792834890965732,0.8075822603719599,0.8419090231170767,0.8891273247496424,0.8483547925608012
BERT (fine-tuned),0.8701716738197425,0.8586278586278586,0.8862660944206009,0.8722280887011616,0.8540772532188842,0.8701716738197425
GPT-4o-mini (zero-shot),0.6870529327610873,0.8009205983889528,0.4978540772532189,0.6140273489192766,0.8762517882689557,0.6870529327610873
GPT-4o-mini (8-shot),0.7060085836909872,0.7149253731343284,0.6852646638054364,0.699780861943024,0.7267525035765379,0.7060085836909871
Claude Haiku 4.5 (zero-shot),0.7142346208869814,0.751892346509672,0.6394849785407726,0.6911480479319675,0.7889842632331903,0.7142346208869814
Claude Haiku 4.5 (8-shot),0.7303290414878397,0.7600969305331179,0.67310443490701,0.7139605462822458,0.7875536480686696,0.7303290414878398
Gemini 2.5 Flash (zero-shot),0.6784692417739628,0.8751879699248121,0.41630901287553645,0.5642268540959766,0.9406294706723891,0.6784692417739628
Gemini 2.5 Flash (8-shot),0.7378397711015737,0.8674033149171271,0.5615164520743919,0.681719496309162,0.9141630901287554,0.7378397711015736
