Model,subclass,n,Accuracy,Predicted_Fake_Rate,Mean_Prob_Fake
Logistic Regression,HF,699,0.7639484978540773,0.7639484978540773,0.7254010736295989
Logistic Regression,MF,699,0.9384835479256081,0.9384835479256081,0.8791218117902061
Logistic Regression,HR,699,0.7339055793991416,0.26609442060085836,0.313593625810926
Logistic Regression,MR,699,0.899856938483548,0.10014306151645208,0.14773045757811984
"Naive Bayes (Gaussian, TF-IDF)",HF,699,0.8397711015736766,0.8397711015736766,0.8406344154804626
"Naive Bayes (Gaussian, TF-IDF)",MF,699,0.9713876967095851,0.9713876967095851,0.9708417654026188
"Naive Bayes (Gaussian, TF-IDF)",HR,699,0.34334763948497854,0.6566523605150214,0.6569246890803244
"Naive Bayes (Gaussian, TF-IDF)",MR,699,0.4721030042918455,0.5278969957081545,0.5301887222649992
"Naive Bayes (multinomial, counts)",HF,699,0.7525035765379113,0.7525035765379113,0.7459278856038054
"Naive Bayes (multinomial, counts)",MF,699,0.821173104434907,0.821173104434907,0.8237841570351284
"Naive Bayes (multinomial, counts)",HR,699,0.8011444921316166,0.1988555078683834,0.20565520473893212
"Naive Bayes (multinomial, counts)",MR,699,0.8669527896995708,0.13304721030042918,0.14158287272219128
Random Forest,HF,699,0.7067238912732475,0.7067238912732475,0.6297739628040058
Random Forest,MF,699,0.9084406294706724,0.9084406294706724,0.7736080114449213
Random Forest,HR,699,0.8583690987124464,0.14163090128755365,0.36402575107296137
Random Forest,MR,699,0.9198855507868383,0.08011444921316166,0.2862889842632332
